symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-11-29 00:00:00+00:00,179.55,182.8,177.7,182.66,41769992,43.0821579895,43.8619798412,42.638259397,43.8283875153,167079968,0.0,1.0
AAPL,2018-11-30 00:00:00+00:00,178.58,180.33,177.03,180.29,39531549,42.84941116,43.2693152339,42.477496123,43.2597174265,158126196,0.0,1.0
AAPL,2018-12-03 00:00:00+00:00,184.82,184.94,181.21,184.46,40798002,44.3466691151,44.3754625374,43.4804669968,44.2602888485,163192008,0.0,1.0
AAPL,2018-12-04 00:00:00+00:00,176.69,182.39,176.27,180.95,41344282,42.3959147601,43.7636023153,42.2951377823,43.4180812487,165377128,0.0,1.0
AAPL,2018-12-06 00:00:00+00:00,174.72,174.78,170.42,171.76,43098410,41.9232227454,41.9376194565,40.8914584493,41.2129849974,172393640,0.0,1.0
AAPL,2018-12-07 00:00:00+00:00,168.49,174.49,168.3,173.49,42281631,40.428364242,41.8680353528,40.3827746568,41.6280901677,169126524,0.0,1.0
AAPL,2018-12-10 00:00:00+00:00,169.6,170.09,163.33,165.0,62025994,40.6947033975,40.8122765382,39.1902470868,39.5909555459,248103976,0.0,1.0
AAPL,2018-12-11 00:00:00+00:00,168.63,171.79,167.0,171.66,47281665,40.4619565679,41.2201833529,40.0708459162,41.1889904789,189126660,0.0,1.0
AAPL,2018-12-12 00:00:00+00:00,169.1,171.92,169.02,170.4,35627674,40.574730805,41.251376227,40.5555351901,40.8866595456,142510696,0.0,1.0
AAPL,2018-12-13 00:00:00+00:00,170.95,172.57,169.55,170.49,31897827,41.0186293974,41.4073405973,40.6827061383,40.9082546123,127591308,0.0,1.0
AAPL,2018-12-14 00:00:00+00:00,165.48,169.08,165.28,169.0,40703710,39.7061292348,40.5699319012,39.6581401978,40.5507362864,162814840,0.0,1.0
AAPL,2018-12-17 00:00:00+00:00,163.94,168.35,162.73,165.45,44287922,39.3366136497,40.3947719161,39.0462799757,39.6989308792,177151688,0.0,1.0
AAPL,2018-12-18 00:00:00+00:00,166.07,167.53,164.39,165.38,33841518,39.847696894,40.1980168643,39.444588983,39.6821347163,135366072,0.0,1.0
AAPL,2018-12-19 00:00:00+00:00,160.89,167.45,159.09,166.0,49047297,38.6047808351,40.1788212495,38.1728795018,39.8309007311,196189188,0.0,1.0
AAPL,2018-12-20 00:00:00+00:00,156.83,162.11,155.3,160.4,64772960,37.6306033834,38.8975139609,37.2634872502,38.4872076943,259091840,0.0,1.0
AAPL,2018-12-21 00:00:00+00:00,150.73,158.16,149.63,156.86,95744384,36.1669377542,37.9497304797,35.9029980505,37.637801739,382977536,0.0,1.0
AAPL,2018-12-24 00:00:00+00:00,146.83,151.55,146.59,148.15,37169232,35.2311515322,36.363692806,35.1735646877,35.5478791765,148676928,0.0,1.0
AAPL,2018-12-26 00:00:00+00:00,157.17,157.23,146.72,148.3,58582544,37.7121847464,37.7265814575,35.2047575618,35.5838709543,234330176,0.0,1.0
AAPL,2018-12-27 00:00:00+00:00,156.15,156.77,150.07,155.84,53117065,37.4674406576,37.6162066723,36.008573932,37.3930576502,212468260,0.0,1.0
AAPL,2018-12-28 00:00:00+00:00,156.23,158.52,154.55,157.5,42291424,37.4866362724,38.0361107463,37.0835283614,37.7913666575,169165696,0.0,1.0
AAPL,2018-12-31 00:00:00+00:00,157.74,159.36,156.48,158.53,35003466,37.8489535019,38.2376647018,37.5466225687,38.0385101982,140013864,0.0,1.0
AAPL,2019-01-02 00:00:00+00:00,157.92,158.85,154.23,154.89,37039737,37.8921436352,38.1152926574,37.0067459021,37.1651097243,148158948,0.0,1.0
AAPL,2019-01-03 00:00:00+00:00,142.19,145.72,142.0,143.98,91312195,34.1178058732,34.9648123767,34.072216288,34.5473077546,365248780,0.0,1.0
AAPL,2019-01-04 00:00:00+00:00,148.26,148.55,143.8,144.53,58607070,35.5742731469,35.6438572506,34.5041176212,34.6792776064,234428280,0.0,1.0
AAPL,2019-01-07 00:00:00+00:00,147.93,148.83,145.9,148.7,54777764,35.4950912358,35.7110419024,35.00800251,35.6798490284,219111056,0.0,1.0
AAPL,2019-01-08 00:00:00+00:00,150.75,151.82,148.52,149.56,41025314,36.1717366579,36.428478006,35.636658895,35.8862018876,164101256,0.0,1.0
AAPL,2019-01-09 00:00:00+00:00,153.31,154.53,149.63,151.29,45099081,36.7859963318,37.0787294577,35.9029980505,36.3013070578,180396324,0.0,1.0
AAPL,2019-01-10 00:00:00+00:00,153.8,153.97,150.86,152.5,35780670,36.9035694725,36.944360154,36.1981306282,36.5916407318,143122680,0.0,1.0
AAPL,2019-01-11 00:00:00+00:00,152.29,153.7,151.51,152.88,27023241,36.541252243,36.879574954,36.3540949986,36.6828199022,108092964,0.0,1.0
AAPL,2019-01-14 00:00:00+00:00,150.0,151.27,149.22,150.85,32439186,35.991777769,36.2965081541,35.8046205246,36.1957311764,129756744,0.0,1.0
AAPL,2019-01-15 00:00:00+00:00,153.07,153.39,150.05,150.27,28710324,36.7284094874,36.8051919466,36.0037750283,36.056562969,114841296,0.0,1.0
AAPL,2019-01-16 00:00:00+00:00,154.94,155.88,153.0,153.08,30569706,37.1771069836,37.4026554576,36.7116133244,36.7308089392,122278824,0.0,1.0
AAPL,2019-01-17 00:00:00+00:00,155.86,157.66,153.26,154.2,29821160,37.3978565539,37.8297578871,36.7739990725,36.9995475466,119284640,0.0,1.0
AAPL,2019-01-18 00:00:00+00:00,156.82,157.88,155.98,157.5,33751023,37.6282039316,37.8825458278,37.4266499761,37.7913666575,135004092,0.0,1.0
AAPL,2019-01-22 00:00:00+00:00,153.3,156.73,152.62,156.41,30393970,36.7835968799,37.6066088649,36.6204341541,37.5298264057,121575880,0.0,1.0
AAPL,2019-01-23 00:00:00+00:00,153.92,155.14,151.7,154.15,23130570,36.9323628947,37.2250960206,36.3996845837,36.9875502873,92522280,0.0,1.0
AAPL,2019-01-24 00:00:00+00:00,152.7,154.48,151.74,154.11,25441549,36.6396297689,37.0667321984,36.4092823911,36.9779524799,101766196,0.0,1.0
AAPL,2019-01-25 00:00:00+00:00,157.76,158.13,154.32,155.48,33547893,37.8537524056,37.9425321241,37.0283409688,37.3066773835,134191572,0.0,1.0
AAPL,2019-01-28 00:00:00+00:00,156.3,156.33,153.66,155.79,26192058,37.5034324353,37.5106307909,36.8699771466,37.3810603909,104768232,0.0,1.0
AAPL,2019-01-29 00:00:00+00:00,154.68,158.13,154.11,156.25,41587239,37.1147212354,37.9425321241,36.9779524799,37.4914351761,166348956,0.0,1.0
AAPL,2019-01-30 00:00:00+00:00,165.25,166.15,160.23,163.25,61109780,39.6509418422,39.8668925088,38.4464170129,39.171051472,244439120,0.0,1.0
AAPL,2019-01-31 00:00:00+00:00,166.44,169.0,164.56,166.11,40739649,39.9364766125,40.5507362864,39.4853796645,39.8572947014,162958596,0.0,1.0
