symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DIS,2018-12-20 00:00:00+00:00,107.0,109.21,106.13,108.75,9387252,105.3670142697,107.5432862467,104.5102918173,107.0903065592,9387252,0.0,1.0
DIS,2018-12-21 00:00:00+00:00,104.22,108.75,103.86,106.47,15530616,102.6294413756,107.0903065592,102.2749355332,104.8451028906,15530616,0.0,1.0
DIS,2018-12-24 00:00:00+00:00,100.35,103.9,100.35,103.23,7132955,98.8185035698,102.3143250713,98.8185035698,101.654550309,7132955,0.0,1.0
DIS,2018-12-26 00:00:00+00:00,105.83,105.85,100.38,100.49,9422844,104.2148702819,104.2345650509,98.8480457233,98.9563669529,9422844,0.0,1.0
DIS,2018-12-27 00:00:00+00:00,106.52,106.55,102.8,104.41,8201369,104.8943398132,104.9238819667,101.231112775,102.8165416813,8201369,0.0,1.0
DIS,2018-12-28 00:00:00+00:00,107.3,108.52,106.1901,107.28,7620457,105.6624358051,106.8638167154,104.5694745982,105.642741036,7620457,0.0,1.0
DIS,2018-12-31 00:00:00+00:00,109.65,109.67,107.5528,109.11,7241715,107.9765711652,107.9962659342,105.9113776855,107.4448124016,7241715,0.0,1.0
DIS,2019-01-02 00:00:00+00:00,108.97,109.14,107.73,108.1,9723461,107.3069490184,107.4743545551,106.085873339,106.450226566,9723461,0.0,1.0
DIS,2019-01-03 00:00:00+00:00,106.33,108.65,105.94,108.48,10594688,104.7072395075,106.9918327141,104.3231915115,106.8244271774,10594688,0.0,1.0
DIS,2019-01-04 00:00:00+00:00,109.61,110.75,107.25,107.94,10122770,107.9371816271,109.0597834614,105.6131988825,106.2926684138,10122770,0.0,1.0
DIS,2019-01-07 00:00:00+00:00,110.56,111.4,109.3,109.91,6714654,108.8726831557,109.6998634547,107.6319127073,108.2326031625,6714654,0.0,1.0
DIS,2019-01-08 00:00:00+00:00,111.42,112.56,111.17,111.8,8730674,109.7195582237,110.842160058,109.4733736109,110.0937588351,8730674,0.0,1.0
DIS,2019-01-09 00:00:00+00:00,112.67,112.8,111.56,111.8,5931922,110.9504812876,111.0784972862,109.8574216068,110.0937588351,5931922,0.0,1.0
DIS,2019-01-10 00:00:00+00:00,112.8,112.91,111.5,111.99,6160065,111.0784972862,111.1868185158,109.7983372998,110.2808591408,6160065,0.0,1.0
DIS,2019-01-11 00:00:00+00:00,112.65,112.92,111.73,112.18,4819131,110.9307865186,111.1966659004,110.0248271435,110.4679594465,4819131,0.0,1.0
DIS,2019-01-14 00:00:00+00:00,112.42,112.7,111.43,111.65,6980978,110.7042966748,110.9800234411,109.7294056082,109.9460480674,6980978,0.0,1.0
DIS,2019-01-15 00:00:00+00:00,111.76,113.18,110.61,112.3,9800910,110.0543692971,111.4526978976,108.9219200783,110.5861280607,9800910,0.0,1.0
DIS,2019-01-16 00:00:00+00:00,110.91,112.01,110.81,111.45,5899937,109.2173416136,110.3005539098,109.1188677685,109.7491003772,5899937,0.0,1.0
DIS,2019-01-17 00:00:00+00:00,111.01,111.26,110.16,110.72,6392033,109.3158154587,109.5620000715,108.4787877753,109.0302413079,6392033,0.0,1.0
DIS,2019-01-18 00:00:00+00:00,111.04,111.93,110.83,111.86,8554673,109.3453576122,110.2217748337,109.1385625375,110.1528431422,8554673,0.0,1.0
DIS,2019-01-22 00:00:00+00:00,110.6,111.33,109.75,110.62,6986669,108.9120726938,109.6309317631,108.0750450103,108.9317674628,6986669,0.0,1.0
DIS,2019-01-23 00:00:00+00:00,111.12,111.84,110.0,111.19,6845560,109.4241366883,110.1331483731,108.3212296231,109.4930683799,6845560,0.0,1.0
DIS,2019-01-24 00:00:00+00:00,110.55,111.11,109.93,111.0,6716751,108.8628357712,109.4142893038,108.2522979315,109.3059680742,6716751,0.0,1.0
DIS,2019-01-25 00:00:00+00:00,111.09,111.5,110.66,111.47,5710812,109.3945945348,109.7983372998,108.9711570008,109.7687951462,5710812,0.0,1.0
DIS,2019-01-28 00:00:00+00:00,110.81,110.99,109.95,110.76,6178777,109.1188677685,109.2961206897,108.2719927005,109.0696308459,6178777,0.0,1.0
DIS,2019-01-29 00:00:00+00:00,110.9,110.93,110.0,110.65,5253724,109.2074942291,109.2370363826,108.3212296231,108.9613096163,5253724,0.0,1.0
DIS,2019-01-30 00:00:00+00:00,110.13,110.58,108.96,110.3,7853849,108.4492456217,108.8923779247,107.2971016339,108.6166511584,7853849,0.0,1.0
DIS,2019-01-31 00:00:00+00:00,111.52,111.54,110.01,110.1,8351629,109.8180320688,109.8377268378,108.3310770076,108.4197034682,8351629,0.0,1.0
DIS,2019-02-01 00:00:00+00:00,111.3,112.05,110.93,111.97,6557666,109.6013896095,110.3399434479,109.2370363826,110.2611643718,6557666,0.0,1.0
DIS,2019-02-04 00:00:00+00:00,111.8,111.98,110.68,111.41,7037006,110.0937588351,110.2710117563,108.9908517698,109.7097108392,7037006,0.0,1.0
DIS,2019-02-05 00:00:00+00:00,112.66,112.74,111.45,112.02,13619793,110.9406339031,111.0194129792,109.7491003772,110.3104012943,13619793,0.0,1.0
DIS,2019-02-06 00:00:00+00:00,111.41,113.92,111.07,113.85,14229041,109.7097108392,112.1814043515,109.3748997658,112.1124726599,14229041,0.0,1.0
DIS,2019-02-07 00:00:00+00:00,110.95,111.11,109.81,111.05,8658117,109.2567311516,109.4142893038,108.1341293174,109.3552049968,8658117,0.0,1.0
DIS,2019-02-08 00:00:00+00:00,111.51,111.54,110.06,110.46,6395482,109.8081846843,109.8377268378,108.3803139302,108.7742093106,6395482,0.0,1.0
DIS,2019-02-11 00:00:00+00:00,109.44,111.81,109.25,111.77,11086391,107.7697760905,110.1036062196,107.5826757847,110.0642166816,11086391,0.0,1.0
DIS,2019-02-12 00:00:00+00:00,109.2,110.83,109.15,110.21,7610200,107.5334388622,109.1385625375,107.4842019396,108.5280246978,7610200,0.0,1.0
DIS,2019-02-13 00:00:00+00:00,110.2,110.48,109.23,109.24,6919706,108.5181773133,108.7939040796,107.5629810157,107.5728284002,6919706,0.0,1.0
DIS,2019-02-14 00:00:00+00:00,110.66,111.5,109.54,109.85,6324746,108.9711570008,109.7983372998,107.8682499356,108.1735188554,6324746,0.0,1.0
DIS,2019-02-15 00:00:00+00:00,112.59,112.63,111.03,111.4,8197250,110.8717022115,110.9110917495,109.3355102277,109.6998634547,8197250,0.0,1.0
DIS,2019-02-19 00:00:00+00:00,113.51,113.77,112.83,112.91,8169630,111.7776615865,112.0336935838,111.1080394398,111.1868185158,8169630,0.0,1.0
DIS,2019-02-20 00:00:00+00:00,113.68,114.09,113.29,113.6,7081458,111.9450671232,112.3488098882,111.5610191273,111.8662880471,7081458,0.0,1.0
DIS,2019-02-21 00:00:00+00:00,114.29,114.54,112.87,113.4,9480098,112.5457575784,112.7919421912,111.1474289778,111.6693403569,9480098,0.0,1.0
DIS,2019-02-22 00:00:00+00:00,115.25,115.77,113.95,114.63,8735066,113.4911064915,114.003170486,112.210946505,112.8805686518,8735066,0.0,1.0
DIS,2019-02-25 00:00:00+00:00,113.59,115.8,113.46,115.62,9327690,111.8564406626,114.0327126396,111.728424664,113.8554597184,9327690,0.0,1.0
DIS,2019-02-26 00:00:00+00:00,113.5,114.01,112.85,113.65,8955976,111.767814202,112.2700308121,111.1277342088,111.9155249697,8955976,0.0,1.0
DIS,2019-02-27 00:00:00+00:00,112.78,113.51,112.46,113.1,7249546,111.0588025172,111.7776615865,110.7436862128,111.3739188216,7249546,0.0,1.0
DIS,2019-02-28 00:00:00+00:00,112.84,113.43,112.75,112.9,6716706,111.1178868243,111.6988825104,111.0292603637,111.1769711313,6716706,0.0,1.0
DIS,2019-03-01 00:00:00+00:00,114.01,114.44,113.45,113.45,6996911,112.2700308121,112.6934683461,111.7185772794,111.7185772794,6996911,0.0,1.0
DIS,2019-03-04 00:00:00+00:00,114.33,114.42,113.09,114.42,6014966,112.5851471164,112.673773577,111.364071437,112.673773577,6014966,0.0,1.0
DIS,2019-03-05 00:00:00+00:00,114.0,114.54,113.76,114.23,5225121,112.2601834276,112.7919421912,112.0238461993,112.4866732713,5225121,0.0,1.0
DIS,2019-03-06 00:00:00+00:00,114.85,115.05,114.0,114.0,7352761,113.097211111,113.2941588012,112.2601834276,112.2601834276,7352761,0.0,1.0
DIS,2019-03-07 00:00:00+00:00,114.01,114.9,113.47,114.85,6324026,112.2700308121,113.1464480336,111.7382720485,113.097211111,6324026,0.0,1.0
DIS,2019-03-08 00:00:00+00:00,113.81,113.84,112.9,113.46,6549140,112.0730831218,112.1026252754,111.1769711313,111.728424664,6549140,0.0,1.0
DIS,2019-03-11 00:00:00+00:00,114.75,115.0,114.03,114.04,6952702,112.9987372659,113.2449218787,112.2897255811,112.2995729656,6952702,0.0,1.0
DIS,2019-03-12 00:00:00+00:00,114.73,115.3,114.04,114.72,9920395,112.9790424969,113.540343414,112.2995729656,112.9691951124,9920395,0.0,1.0
DIS,2019-03-13 00:00:00+00:00,114.09,114.85,113.72,114.84,17994525,112.3488098882,113.097211111,111.9844566612,113.0873637265,17994525,0.0,1.0
DIS,2019-03-14 00:00:00+00:00,114.48,114.77,113.93,114.12,17409649,112.7328578841,113.0184320349,112.191251736,112.3783520417,17409649,0.0,1.0
DIS,2019-03-15 00:00:00+00:00,114.96,115.48,113.68,114.5,14932667,113.2055323406,113.7175963352,111.9450671232,112.7525526531,14932667,0.0,1.0
DIS,2019-03-18 00:00:00+00:00,113.12,114.0,112.46,113.03,21769821,111.3936135906,112.2601834276,110.7436862128,111.30498713,21769821,0.0,1.0
DIS,2019-03-19 00:00:00+00:00,110.0,113.71,109.8,112.95,45384389,108.3212296231,111.9746092767,108.1242819329,111.2262080539,45384389,0.0,1.0
DIS,2019-03-20 00:00:00+00:00,109.99,110.88,108.05,110.31,35588736,108.3113822386,109.1877994601,106.4009896434,108.6264985429,35588736,0.0,1.0
DIS,2019-03-21 00:00:00+00:00,108.66,110.15,108.37,110.1,27438927,107.0016800986,108.4689403908,106.7161059478,108.4197034682,27438927,0.0,1.0
DIS,2019-03-22 00:00:00+00:00,108.23,109.0,107.51,108.33,24133840,106.5782425646,107.336491172,105.8692308798,106.6767164097,24133840,0.0,1.0
DIS,2019-03-25 00:00:00+00:00,107.79,109.07,107.32,108.49,18187512,106.1449576461,107.4054228635,105.6821305741,106.8342745619,18187512,0.0,1.0
DIS,2019-03-26 00:00:00+00:00,110.14,110.34,108.27,108.4,16693081,108.4590930062,108.6560406965,106.6176321027,106.7456481013,16693081,0.0,1.0
DIS,2019-03-27 00:00:00+00:00,110.28,111.09,109.73,110.45,10794846,108.5969563894,109.3945945348,108.0553502413,108.7643619261,10794846,0.0,1.0
DIS,2019-03-28 00:00:00+00:00,110.71,111.27,110.24,110.6,11748863,109.0203939234,109.571847456,108.5575668514,108.9120726938,11748863,0.0,1.0
DIS,2019-03-29 00:00:00+00:00,111.03,111.6,110.39,111.56,16358761,109.3355102277,109.8968111449,108.705277619,109.8574216068,16358761,0.0,1.0
DIS,2019-04-01 00:00:00+00:00,112.51,112.87,111.38,111.59,10785064,110.7929231354,111.1474289778,109.6801686856,109.8869637604,10785064,0.0,1.0
DIS,2019-04-02 00:00:00+00:00,111.96,113.31,111.92,113.15,9231765,110.2513169873,111.5807138963,110.2119274492,111.4231557441,9231765,0.0,1.0
DIS,2019-04-03 00:00:00+00:00,112.52,113.11,112.21,112.7,10534893,110.8027705199,111.3837662061,110.4975016001,110.9800234411,10534893,0.0,1.0
DIS,2019-04-04 00:00:00+00:00,114.75,114.86,113.03,113.24,14378356,112.9987372659,113.1070584955,111.30498713,111.5117822047,14378356,0.0,1.0
