symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NDAQ,2018-11-01 00:00:00+00:00,87.0,87.48,85.94,86.57,1087773,26.7857740197,26.9335576005,26.4594186122,26.6533845619,3263319,0.0,1.0
NDAQ,2018-11-02 00:00:00+00:00,87.0,87.87,86.14,87.4,738816,26.7857740197,27.0536317599,26.5209951041,26.9089270037,2216448,0.0,1.0
NDAQ,2018-11-05 00:00:00+00:00,88.76,88.83,87.08,87.14,817671,27.3276471493,27.3491989215,26.8104046165,26.8288775641,2453013,0.0,1.0
NDAQ,2018-11-06 00:00:00+00:00,89.61,89.73,88.47,88.48,842807,27.5893472403,27.6262931355,27.2383612359,27.2414400605,2528421,0.0,1.0
NDAQ,2018-11-07 00:00:00+00:00,90.76,90.96,89.69,90.16,1037883,27.9434120693,28.0049885613,27.6139778371,27.7586825933,3113649,0.0,1.0
NDAQ,2018-11-08 00:00:00+00:00,91.34,91.45,90.01,90.01,670635,28.1219838961,28.1558509667,27.7125002243,27.7125002243,2011905,0.0,1.0
NDAQ,2018-11-09 00:00:00+00:00,90.4,91.31,89.6,90.94,699096,27.8325743837,28.1127474223,27.5862684157,27.9988309121,2097288,0.0,1.0
NDAQ,2018-11-12 00:00:00+00:00,88.6,90.55,88.32,90.38,767813,27.2783859557,27.8787567527,27.1921788669,27.8264167345,2303439,0.0,1.0
NDAQ,2018-11-13 00:00:00+00:00,88.65,89.35,88.13,88.71,1055822,27.2937800787,27.5092978007,27.1336811995,27.3122530263,3167466,0.0,1.0
NDAQ,2018-11-14 00:00:00+00:00,85.89,89.72,85.64,89.14,1479123,26.4440244892,27.6232143109,26.3670538742,27.4446424841,4437369,0.0,1.0
NDAQ,2018-11-15 00:00:00+00:00,88.08,88.19,85.22,85.91,957961,27.1182870765,27.1521541471,26.237743241,26.4501821384,2873883,0.0,1.0
NDAQ,2018-11-16 00:00:00+00:00,88.74,89.0,87.2,87.72,1001071,27.3214895001,27.4015389397,26.8473505117,27.0074493909,3003213,0.0,1.0
NDAQ,2018-11-19 00:00:00+00:00,88.99,89.32,88.43,88.67,1014573,27.3984601151,27.5000613269,27.2260459375,27.2999377279,3043719,0.0,1.0
NDAQ,2018-11-20 00:00:00+00:00,87.43,88.25,86.33,88.25,1186831,26.9181634775,27.1706270947,26.5794927715,27.1706270947,3560493,0.0,1.0
NDAQ,2018-11-21 00:00:00+00:00,87.26,88.09,86.99,88.09,1222686,26.8658234593,27.1213659011,26.7826951951,27.1213659011,3668058,0.0,1.0
NDAQ,2018-11-23 00:00:00+00:00,87.86,88.15,86.32,87.0,652672,27.0505529353,27.1398388487,26.5764139469,26.7857740197,1958016,0.0,1.0
NDAQ,2018-11-26 00:00:00+00:00,89.43,89.65,88.52,88.6,1214588,27.5339283975,27.6016625387,27.2537553589,27.2783859557,3643764,0.0,1.0
NDAQ,2018-11-27 00:00:00+00:00,89.46,89.88,88.85,89.15,1040935,27.5431648713,27.6724755045,27.3553565707,27.4477213087,3122805,0.0,1.0
NDAQ,2018-11-28 00:00:00+00:00,89.93,90.21,88.66,89.89,1198186,27.6878696275,27.7740767163,27.2968589033,27.6755543291,3594558,0.0,1.0
NDAQ,2018-11-29 00:00:00+00:00,90.39,91.38,89.11,89.8,741088,27.8294955591,28.1342991945,27.4354060103,27.6478449077,2223264,0.0,1.0
NDAQ,2018-11-30 00:00:00+00:00,91.32,91.62,90.04,90.33,930382,28.1158262469,28.2081909849,27.7217366981,27.8110226115,2791146,0.0,1.0
NDAQ,2018-12-03 00:00:00+00:00,92.65,93.14,91.96,92.37,902600,28.5253099187,28.6761723241,28.3128710213,28.4391028299,2707800,0.0,1.0
NDAQ,2018-12-04 00:00:00+00:00,90.4,92.96,90.1,92.59,999778,27.8325743837,28.6207534813,27.7402096457,28.5068369711,2999334,0.0,1.0
NDAQ,2018-12-06 00:00:00+00:00,89.89,90.19,88.74,89.61,1720616,27.6755543291,27.7679190671,27.3214895001,27.5893472403,5161848,0.0,1.0
NDAQ,2018-12-07 00:00:00+00:00,87.36,90.11,87.17,89.95,1167416,26.8966117053,27.7432884703,26.8381140379,27.6940272767,3502248,0.0,1.0
NDAQ,2018-12-10 00:00:00+00:00,87.1,87.36,85.11,87.36,1033651,26.8165622657,26.8966117053,26.2038761704,26.8966117053,3100953,0.0,1.0
NDAQ,2018-12-11 00:00:00+00:00,87.31,89.62,87.24,88.26,858245,26.8812175823,27.5924260649,26.8596658101,27.1737059193,2574735,0.0,1.0
NDAQ,2018-12-12 00:00:00+00:00,87.49,88.72,87.41,88.16,560252,26.9366364251,27.3153318509,26.9120058283,27.1429176733,1680756,0.0,1.0
NDAQ,2018-12-13 00:00:00+00:00,87.02,87.68,86.4,87.41,584859,26.9273999513,27.1316298292,26.7355476419,27.0480812428,1754577,0.44,1.0
NDAQ,2018-12-14 00:00:00+00:00,86.54,87.34,86.01,86.72,535862,26.7788691311,27.0264204982,26.6148663504,26.8345681887,1607586,0.0,1.0
NDAQ,2018-12-17 00:00:00+00:00,85.25,86.51,85.03,86.3,876830,26.3796925517,26.7695859548,26.3116159258,26.704603721,2630490,0.0,1.0
NDAQ,2018-12-18 00:00:00+00:00,83.74,86.42,83.43,85.75,1006031,25.9124393464,26.7417364261,25.8165131917,26.5344121561,3018093,0.0,1.0
NDAQ,2018-12-19 00:00:00+00:00,83.01,84.97,82.41,83.99,1017405,25.686548724,26.2930495733,25.5008851987,25.9897991486,3052215,0.0,1.0
NDAQ,2018-12-20 00:00:00+00:00,81.01,83.2,80.53,82.85,965413,25.0676703063,25.7453421737,24.9191394861,25.6370384506,2896239,0.0,1.0
NDAQ,2018-12-21 00:00:00+00:00,79.51,82.49,79.48,80.67,1665047,24.6035114931,25.5256403354,24.5942283169,24.9624609754,4995141,0.0,1.0
